Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
male,30.83,0,married,customer,Industrials,White,1.25,not defaulted,employed,1,unlicensed,ByBirth,202,0,+
female,58.67,4.46,married,customer,Materials,Black,3.04,not defaulted,employed,6,unlicensed,ByBirth,43,560,+
female,24.5,0.5,married,customer,Materials,Black,1.5,not defaulted,unemployed,0,unlicensed,ByBirth,280,824,+
male,27.83,1.54,married,customer,Industrials,White,3.75,not defaulted,employed,5,licensed,ByBirth,100,3,+
male,20.17,5.625,married,customer,Industrials,White,1.71,not defaulted,unemployed,0,unlicensed,ByOtherMeans,120,0,+
male,32.08,4,married,customer,CommServ,White,2.5,not defaulted,unemployed,0,licensed,ByBirth,360,0,+
male,33.17,1.04,married,customer,Transport,Black,6.5,not defaulted,unemployed,0,licensed,ByBirth,164,31285,+
female,22.92,11.585,married,customer,IT,White,0.04,not defaulted,unemployed,0,unlicensed,ByBirth,80,1349,+
male,54.42,0.5,unmarried,non customer,Financials,Black,3.96,not defaulted,unemployed,0,unlicensed,ByBirth,180,314,+
male,42.5,4.915,unmarried,non customer,Industrials,White,3.165,not defaulted,unemployed,0,licensed,ByBirth,52,1442,+
male,22.08,0.83,married,customer,Energy,Black,2.165,defaulted,unemployed,0,licensed,ByBirth,128,0,+
male,29.92,1.835,married,customer,Energy,Black,4.335,not defaulted,unemployed,0,unlicensed,ByBirth,260,200,+
female,38.25,6,married,customer,Financials,White,1,not defaulted,unemployed,0,licensed,ByBirth,0,0,+
male,48.08,6.04,married,customer,Financials,White,0.04,defaulted,unemployed,0,unlicensed,ByBirth,0,2690,+
female,45.83,10.5,married,customer,Materials,White,5,not defaulted,employed,7,licensed,ByBirth,0,0,+
male,36.67,4.415,unmarried,non customer,Financials,White,0.25,not defaulted,employed,10,licensed,ByBirth,320,0,+
male,28.25,0.875,married,customer,CommServ,White,0.96,not defaulted,employed,3,licensed,ByBirth,396,0,+
female,23.25,5.875,married,customer,Materials,White,3.17,not defaulted,employed,10,unlicensed,ByBirth,120,245,+
male,21.83,0.25,married,customer,Real Estate,Black,0.665,not defaulted,unemployed,0,licensed,ByBirth,0,0,+
female,19.17,8.585,married,customer,IT,Black,0.75,not defaulted,employed,7,unlicensed,ByBirth,96,0,+
male,25,11.25,married,customer,Energy,White,2.5,not defaulted,employed,17,unlicensed,ByBirth,200,1208,+
male,23.25,1,married,customer,Energy,White,0.835,not defaulted,unemployed,0,unlicensed,ByOtherMeans,300,0,+
female,47.75,8,married,customer,Energy,White,7.875,not defaulted,employed,6,licensed,ByBirth,0,1260,+
female,27.42,14.5,married,customer,Utilities,Black,3.085,not defaulted,employed,1,unlicensed,ByBirth,120,11,+
female,41.17,6.5,married,customer,Materials,White,0.5,not defaulted,employed,3,licensed,ByBirth,145,0,+
female,15.83,0.585,married,customer,Energy,Black,1.5,not defaulted,employed,2,unlicensed,ByBirth,100,0,+
female,47,13,married,customer,ConsDisc,Asian,5.165,not defaulted,employed,9,licensed,ByBirth,0,0,+
male,56.58,18.5,married,customer,Real Estate,Asian,15,not defaulted,employed,17,licensed,ByBirth,0,0,+
male,57.42,8.5,married,customer,Education,Black,7,not defaulted,employed,3,unlicensed,ByBirth,0,0,+
male,42.08,1.04,married,customer,Industrials,White,5,not defaulted,employed,6,licensed,ByBirth,500,10000,+
male,29.25,14.79,married,customer,ConsStaps,White,5.04,not defaulted,employed,5,licensed,ByBirth,168,0,+
male,42,9.79,married,customer,Utilities,Black,7.96,not defaulted,employed,8,unlicensed,ByBirth,0,0,+
male,49.5,7.585,married,customer,ConsDisc,Asian,7.585,not defaulted,employed,15,licensed,ByBirth,0,5000,+
female,36.75,5.125,married,customer,Education,White,5,not defaulted,unemployed,0,licensed,ByBirth,0,4000,+
female,22.58,10.75,married,customer,Materials,White,0.415,not defaulted,employed,5,licensed,ByBirth,0,560,+
male,27.83,1.5,married,customer,Industrials,White,2,not defaulted,employed,11,licensed,ByBirth,434,35,+
male,27.25,1.585,married,customer,IT,Black,1.835,not defaulted,employed,12,licensed,ByBirth,583,713,+
female,23,11.75,married,customer,Utilities,Black,0.5,not defaulted,employed,2,licensed,ByBirth,300,551,+
male,27.75,0.585,unmarried,non customer,IT,White,0.25,not defaulted,employed,2,unlicensed,ByBirth,260,500,+
male,54.58,9.415,married,customer,Healthcare,Latino,14.415,not defaulted,employed,11,licensed,ByBirth,30,300,+
male,34.17,9.17,married,customer,Energy,White,4.5,not defaulted,employed,12,licensed,ByBirth,0,221,+
male,28.92,15,married,customer,Energy,Black,5.335,not defaulted,employed,11,unlicensed,ByBirth,0,2283,+
male,29.67,1.415,married,customer,Industrials,Black,0.75,not defaulted,employed,1,unlicensed,ByBirth,240,100,+
male,39.58,13.915,married,customer,Industrials,White,8.625,not defaulted,employed,6,licensed,ByBirth,70,0,+
male,56.42,28,unmarried,non customer,Energy,White,28.5,not defaulted,employed,40,unlicensed,ByBirth,0,15,+
male,54.33,6.75,married,customer,Energy,Black,2.625,not defaulted,employed,11,licensed,ByBirth,0,284,+
female,41,2.04,unmarried,non customer,Materials,Black,0.125,not defaulted,employed,23,licensed,ByBirth,455,1236,+
male,31.92,4.46,married,customer,IT,Black,6.04,not defaulted,employed,3,unlicensed,ByBirth,311,300,+
male,41.5,1.54,married,customer,ConsDisc,Asian,3.5,defaulted,unemployed,0,unlicensed,ByBirth,216,0,+
male,23.92,0.665,married,customer,Energy,White,0.165,defaulted,unemployed,0,unlicensed,ByBirth,100,0,+
female,25.75,0.5,married,customer,Energy,Black,0.875,not defaulted,unemployed,0,licensed,ByBirth,491,0,+
male,26,1,married,customer,Materials,White,1.75,not defaulted,unemployed,0,licensed,ByBirth,280,0,+
male,37.42,2.04,married,customer,Industrials,White,0.04,not defaulted,unemployed,0,licensed,ByBirth,400,5800,+
male,34.92,2.5,married,customer,Industrials,White,0,not defaulted,unemployed,0,licensed,ByBirth,239,200,+
male,34.25,3,married,customer,IT,Black,7.415,not defaulted,unemployed,0,licensed,ByBirth,0,0,+
male,23.33,11.625,unmarried,non customer,Industrials,White,0.835,not defaulted,unemployed,0,licensed,ByBirth,160,300,+
male,23.17,0,married,customer,IT,White,0.085,not defaulted,unemployed,0,unlicensed,ByBirth,0,0,+
male,44.33,0.5,married,customer,ConsDisc,Black,5,not defaulted,unemployed,0,licensed,ByBirth,320,0,+
male,35.17,4.5,married,customer,Utilities,Black,5.75,defaulted,unemployed,0,licensed,ByOtherMeans,711,0,+
male,43.25,3,married,customer,Materials,Black,6,not defaulted,employed,11,unlicensed,ByBirth,80,0,+
male,56.75,12.25,married,customer,CommServ,White,1.25,not defaulted,employed,4,licensed,ByBirth,200,0,+
male,31.67,16.165,married,customer,Real Estate,White,3,not defaulted,employed,9,unlicensed,ByBirth,250,730,+
female,23.42,0.79,unmarried,non customer,Materials,White,1.5,not defaulted,employed,2,licensed,ByBirth,80,400,+
female,20.42,0.835,married,customer,Materials,White,1.585,not defaulted,employed,1,unlicensed,ByBirth,0,0,+
male,26.67,4.25,married,customer,IT,White,4.29,not defaulted,employed,1,licensed,ByBirth,120,0,+
male,34.17,1.54,married,customer,IT,White,1.54,not defaulted,employed,1,licensed,ByBirth,520,50000,+
female,36,1,married,customer,Energy,White,2,not defaulted,employed,11,unlicensed,ByBirth,0,456,+
male,25.5,0.375,married,customer,CommServ,White,0.25,not defaulted,employed,3,unlicensed,ByBirth,260,15108,+
male,19.42,6.5,married,customer,Industrials,Black,1.46,not defaulted,employed,7,unlicensed,ByBirth,80,2954,+
male,35.17,25.125,married,customer,Utilities,Black,1.625,not defaulted,employed,1,licensed,ByBirth,515,500,+
male,32.33,7.5,married,customer,Education,Asian,1.585,not defaulted,unemployed,0,licensed,ByOtherMeans,420,0,-
male,34.83,4,married,customer,Real Estate,Asian,12.5,not defaulted,unemployed,0,licensed,ByBirth,0,0,-
female,38.58,5,married,customer,IT,White,13.5,not defaulted,unemployed,0,licensed,ByBirth,980,0,-
male,44.25,0.5,married,customer,CommServ,White,10.75,not defaulted,unemployed,0,unlicensed,ByOtherMeans,400,0,-
male,44.83,7,unmarried,non customer,Energy,White,1.625,defaulted,unemployed,0,unlicensed,ByBirth,160,2,-
male,20.67,5.29,married,customer,Materials,White,0.375,not defaulted,employed,1,unlicensed,ByBirth,160,0,-
male,34.08,6.5,married,customer,ConsStaps,White,0.125,not defaulted,unemployed,0,licensed,ByBirth,443,0,-
female,19.17,0.585,unmarried,non customer,ConsStaps,White,0.585,not defaulted,unemployed,0,licensed,ByBirth,160,0,-
male,21.67,1.165,unmarried,non customer,Financials,White,2.5,not defaulted,employed,1,unlicensed,ByBirth,180,20,-
male,21.5,9.75,married,customer,Energy,White,0.25,not defaulted,unemployed,0,unlicensed,ByBirth,140,0,-
male,49.58,19,married,customer,Healthcare,Latino,0,not defaulted,employed,1,unlicensed,ByBirth,94,0,-
female,27.67,1.5,married,customer,CommServ,White,2,not defaulted,unemployed,0,unlicensed,ByOtherMeans,368,0,-
male,39.83,0.5,married,customer,CommServ,White,0.25,not defaulted,unemployed,0,unlicensed,ByOtherMeans,288,0,-
female,28.46,3.5,married,customer,Real Estate,White,3,not defaulted,unemployed,0,licensed,ByBirth,300,0,-
male,27.25,0.625,married,customer,ConsStaps,White,0.455,not defaulted,unemployed,0,licensed,ByBirth,200,0,-
male,37.17,4,married,customer,Energy,Asian,5,not defaulted,unemployed,0,licensed,ByOtherMeans,280,0,-
male,28.46,0.375,married,customer,Real Estate,White,0.875,not defaulted,unemployed,0,licensed,ByOtherMeans,928,0,-
male,25.67,2.21,unmarried,non customer,ConsStaps,White,4,not defaulted,unemployed,0,unlicensed,ByBirth,188,0,-
male,34,4.5,married,customer,ConsStaps,White,1,not defaulted,unemployed,0,licensed,ByBirth,240,0,-
female,49,1.5,married,customer,Research,Other,0,not defaulted,unemployed,0,licensed,ByBirth,100,27,-
male,62.5,12.75,unmarried,non customer,Energy,Black,5,not defaulted,unemployed,0,unlicensed,ByBirth,112,0,-
male,31.42,15.5,married,customer,Energy,White,0.5,not defaulted,unemployed,0,unlicensed,ByBirth,120,0,-
male,28.46,5,unmarried,non customer,ConsStaps,White,8.5,not defaulted,unemployed,0,unlicensed,ByBirth,0,0,-
male,52.33,1.375,unmarried,non customer,Energy,Black,9.46,not defaulted,unemployed,0,licensed,ByBirth,200,100,-
male,28.75,1.5,unmarried,non customer,Energy,White,1.5,not defaulted,unemployed,0,licensed,ByBirth,0,225,-
female,28.58,3.54,married,customer,ConsDisc,Asian,0.5,not defaulted,unemployed,0,licensed,ByBirth,171,0,-
male,23,0.625,unmarried,non customer,ConsStaps,White,0.125,not defaulted,unemployed,0,unlicensed,ByBirth,180,1,-
male,28.46,0.5,married,customer,Energy,Asian,0.835,not defaulted,unemployed,0,licensed,ByOtherMeans,320,0,-
female,22.5,11,unmarried,non customer,Materials,White,3,not defaulted,unemployed,0,licensed,ByBirth,268,0,-
female,28.5,1,married,customer,Materials,White,1,not defaulted,employed,2,licensed,ByBirth,167,500,-
male,37.5,1.75,unmarried,non customer,Energy,Asian,0.25,not defaulted,unemployed,0,licensed,ByBirth,164,400,-
male,35.25,16.5,unmarried,non customer,Energy,White,4,not defaulted,unemployed,0,unlicensed,ByBirth,80,0,-
male,18.67,5,married,customer,Materials,White,0.375,not defaulted,employed,2,unlicensed,ByBirth,0,38,-
male,25,12,married,customer,Financials,White,2.25,not defaulted,employed,2,licensed,ByBirth,120,5,-
male,27.83,4,unmarried,non customer,ConsDisc,Black,5.75,not defaulted,employed,2,licensed,ByBirth,75,0,-
male,54.83,15.5,married,customer,Education,Other,0,not defaulted,employed,20,unlicensed,ByBirth,152,130,-
male,28.75,1.165,married,customer,Financials,White,0.5,not defaulted,unemployed,0,unlicensed,ByOtherMeans,280,0,-
female,25,11,unmarried,non customer,ConsStaps,White,4.5,not defaulted,unemployed,0,unlicensed,ByBirth,120,0,-
male,40.92,2.25,unmarried,non customer,Utilities,Black,10,not defaulted,unemployed,0,licensed,ByBirth,176,0,-
female,19.75,0.75,married,customer,Energy,White,0.795,not defaulted,employed,5,licensed,ByBirth,140,5,-
male,29.17,3.5,married,customer,Industrials,White,3.5,not defaulted,employed,3,licensed,ByBirth,329,0,-
female,24.5,1.04,unmarried,non customer,Healthcare,Latino,0.5,not defaulted,employed,3,unlicensed,ByBirth,180,147,-
